sentence_num,token,ner
Sentence: 1,Thousands,O
Sentence: 1,of,O
Sentence: 1,demonstrators,O
Sentence: 1,have,O
Sentence: 1,marched,O
Sentence: 1,through,O
Sentence: 1,London,B-geo
Sentence: 1,to,O
Sentence: 1,protest,O
Sentence: 1,the,O
Sentence: 1,war,O
Sentence: 1,in,O
Sentence: 1,Iraq,B-geo
Sentence: 1,and,O
Sentence: 1,demand,O
Sentence: 1,the,O
Sentence: 1,withdrawal,O
Sentence: 1,of,O
Sentence: 1,British,B-gpe
Sentence: 1,troops,O
Sentence: 1,from,O
Sentence: 1,that,O
Sentence: 1,country,O
Sentence: 1,.,O
Sentence: 2,Families,O
Sentence: 2,of,O
Sentence: 2,soldiers,O
Sentence: 2,killed,O
Sentence: 2,in,O
Sentence: 2,the,O
Sentence: 2,conflict,O
Sentence: 2,joined,O
Sentence: 2,the,O
Sentence: 2,protesters,O
Sentence: 2,who,O
Sentence: 2,carried,O
Sentence: 2,banners,O
Sentence: 2,with,O
Sentence: 2,such,O
Sentence: 2,slogans,O
Sentence: 2,as,O
Sentence: 2,"""",O
Sentence: 2,Bush,B-per
Sentence: 2,Number,O
Sentence: 2,One,O
Sentence: 2,Terrorist,O
Sentence: 2,"""",O
Sentence: 2,and,O
Sentence: 2,"""",O
Sentence: 2,Stop,O
Sentence: 2,the,O
Sentence: 2,Bombings,O
Sentence: 2,.,O
Sentence: 2,"""",O
Sentence: 3,They,O
Sentence: 3,marched,O
Sentence: 3,from,O
Sentence: 3,the,O
Sentence: 3,Houses,O
Sentence: 3,of,O
Sentence: 3,Parliament,O
Sentence: 3,to,O
Sentence: 3,a,O
Sentence: 3,rally,O
Sentence: 3,in,O
Sentence: 3,Hyde,B-geo
Sentence: 3,Park,I-geo
Sentence: 3,.,O
Sentence: 4,Police,O
Sentence: 4,put,O
Sentence: 4,the,O
Sentence: 4,number,O
Sentence: 4,of,O
Sentence: 4,marchers,O
Sentence: 4,at,O
Sentence: 4,"10,000",O
Sentence: 4,while,O
Sentence: 4,organizers,O
Sentence: 4,claimed,O
Sentence: 4,it,O
Sentence: 4,was,O
Sentence: 4,"1,00,000",O
Sentence: 4,.,O
Sentence: 5,The,O
Sentence: 5,protest,O
Sentence: 5,comes,O
Sentence: 5,on,O
Sentence: 5,the,O
Sentence: 5,eve,O
Sentence: 5,of,O
Sentence: 5,the,O
Sentence: 5,annual,O
Sentence: 5,conference,O
Sentence: 5,of,O
Sentence: 5,Britain,B-geo
Sentence: 5,'s,O
Sentence: 5,ruling,O
Sentence: 5,Labor,B-org
Sentence: 5,Party,I-org
Sentence: 5,in,O
Sentence: 5,the,O
Sentence: 5,southern,O
Sentence: 5,English,B-gpe
Sentence: 5,seaside,O
Sentence: 5,resort,O
Sentence: 5,of,O
Sentence: 5,Brighton,B-geo
Sentence: 5,.,O
Sentence: 6,The,O
Sentence: 6,party,O
Sentence: 6,is,O
Sentence: 6,divided,O
Sentence: 6,over,O
Sentence: 6,Britain,B-gpe
Sentence: 6,'s,O
Sentence: 6,participation,O
Sentence: 6,in,O
Sentence: 6,the,O
Sentence: 6,Iraq,B-geo
Sentence: 6,conflict,O
Sentence: 6,and,O
Sentence: 6,the,O
Sentence: 6,continued,O
Sentence: 6,deployment,O
Sentence: 6,of,O
Sentence: 6,"8,500",O
Sentence: 6,British,B-gpe
Sentence: 6,troops,O
Sentence: 6,in,O
Sentence: 6,that,O
Sentence: 6,country,O
Sentence: 6,.,O
Sentence: 7,The,O
Sentence: 7,London,B-geo
Sentence: 7,march,O
Sentence: 7,came,O
Sentence: 7,ahead,O
Sentence: 7,of,O
Sentence: 7,anti-war,O
Sentence: 7,protests,O
Sentence: 7,today,O
Sentence: 7,in,O
Sentence: 7,other,O
Sentence: 7,cities,O
Sentence: 7,",",O
Sentence: 7,including,O
Sentence: 7,Rome,B-geo
Sentence: 7,",",O
Sentence: 7,Paris,B-geo
Sentence: 7,",",O
Sentence: 7,and,O
Sentence: 7,Madrid,B-geo
Sentence: 7,.,O
Sentence: 8,The,O
Sentence: 8,International,B-org
Sentence: 8,Atomic,I-org
Sentence: 8,Energy,I-org
Sentence: 8,Agency,I-org
Sentence: 8,is,O
Sentence: 8,to,O
Sentence: 8,hold,O
Sentence: 8,second,O
Sentence: 8,day,O
Sentence: 8,of,O
Sentence: 8,talks,O
Sentence: 8,in,O
Sentence: 8,Vienna,B-geo
Sentence: 8,Wednesday,B-tim
Sentence: 8,on,O
Sentence: 8,how,O
Sentence: 8,to,O
Sentence: 8,respond,O
Sentence: 8,to,O
Sentence: 8,Iran,B-gpe
Sentence: 8,'s,O
Sentence: 8,resumption,O
Sentence: 8,of,O
Sentence: 8,low-level,O
Sentence: 8,uranium,O
Sentence: 8,conversion,O
Sentence: 8,.,O
Sentence: 9,Iran,B-gpe
Sentence: 9,this,O
Sentence: 9,week,O
Sentence: 9,restarted,O
Sentence: 9,parts,O
Sentence: 9,of,O
Sentence: 9,the,O
Sentence: 9,conversion,O
Sentence: 9,process,O
Sentence: 9,at,O
Sentence: 9,its,O
Sentence: 9,Isfahan,B-geo
Sentence: 9,nuclear,O
Sentence: 9,plant,O
Sentence: 9,.,O
Sentence: 10,Iranian,B-gpe
Sentence: 10,officials,O
Sentence: 10,say,O
Sentence: 10,they,O
Sentence: 10,expect,O
Sentence: 10,to,O
Sentence: 10,get,O
Sentence: 10,access,O
Sentence: 10,to,O
Sentence: 10,sealed,O
Sentence: 10,sensitive,O
Sentence: 10,parts,O
Sentence: 10,of,O
Sentence: 10,the,O
Sentence: 10,plant,O
Sentence: 10,Wednesday,B-tim
Sentence: 10,",",O
Sentence: 10,after,O
Sentence: 10,an,O
Sentence: 10,IAEA,B-org
Sentence: 10,surveillance,O
Sentence: 10,system,O
Sentence: 10,begins,O
Sentence: 10,functioning,O
Sentence: 10,.,O
Sentence: 11,The,O
Sentence: 11,step,O
Sentence: 11,will,O
Sentence: 11,allow,O
Sentence: 11,the,O
Sentence: 11,facility,O
Sentence: 11,to,O
Sentence: 11,operate,O
Sentence: 11,at,O
Sentence: 11,full,O
Sentence: 11,capacity,O
Sentence: 11,.,O
Sentence: 12,The,O
Sentence: 12,European,B-org
Sentence: 12,Union,I-org
Sentence: 12,",",O
Sentence: 12,with,O
Sentence: 12,U.S.,B-gpe
Sentence: 12,backing,O
Sentence: 12,",",O
Sentence: 12,has,O
Sentence: 12,threatened,O
Sentence: 12,to,O
Sentence: 12,refer,O
Sentence: 12,Iran,B-gpe
Sentence: 12,to,O
Sentence: 12,the,O
Sentence: 12,U.N.,B-org
Sentence: 12,Security,I-org
Sentence: 12,Council,I-org
Sentence: 12,",",O
Sentence: 12,which,O
Sentence: 12,could,O
Sentence: 12,impose,O
Sentence: 12,sanctions,O
Sentence: 12,if,O
Sentence: 12,it,O
Sentence: 12,finds,O
Sentence: 12,Tehran,B-gpe
Sentence: 12,has,O
Sentence: 12,violated,O
Sentence: 12,the,O
Sentence: 12,Nuclear,B-art
Sentence: 12,Non-Proliferation,I-art
Sentence: 12,treaty,O
Sentence: 12,.,O
Sentence: 13,Iran,B-gpe
Sentence: 13,'s,O
Sentence: 13,new,O
Sentence: 13,President,B-per
Sentence: 13,Mahmoud,I-per
Sentence: 13,Ahmadinejad,I-per
Sentence: 13,said,O
Sentence: 13,Tuesday,B-tim
Sentence: 13,that,O
Sentence: 13,European,B-gpe
Sentence: 13,incentives,O
Sentence: 13,aimed,O
Sentence: 13,at,O
Sentence: 13,persuading,O
Sentence: 13,Iran,B-gpe
Sentence: 13,to,O
Sentence: 13,end,O
Sentence: 13,its,O
Sentence: 13,nuclear,O
Sentence: 13,fuel,O
Sentence: 13,program,O
Sentence: 13,are,O
Sentence: 13,an,O
Sentence: 13,insult,O
Sentence: 13,to,O
Sentence: 13,the,O
Sentence: 13,Iranian,B-gpe
Sentence: 13,nation,O
Sentence: 13,.,O
Sentence: 14,Two,O
Sentence: 14,Germans,B-gpe
Sentence: 14,and,O
Sentence: 14,four,O
Sentence: 14,Nigerian,B-gpe
Sentence: 14,oil,O
Sentence: 14,workers,O
Sentence: 14,were,O
Sentence: 14,kidnapped,O
Sentence: 14,by,O
Sentence: 14,armed,O
Sentence: 14,militants,O
Sentence: 14,during,O
Sentence: 14,a,O
Sentence: 14,raid,O
Sentence: 14,on,O
Sentence: 14,a,O
Sentence: 14,boat,O
Sentence: 14,in,O
Sentence: 14,Nigeria,B-geo
Sentence: 14,'s,O
Sentence: 14,southern,O
Sentence: 14,oil-rich,O
Sentence: 14,Delta,B-geo
Sentence: 14,region,O
Sentence: 14,.,O
Sentence: 15,An,O
Sentence: 15,official,O
Sentence: 15,with,O
Sentence: 15,the,O
Sentence: 15,German,B-gpe
Sentence: 15,firm,O
Sentence: 15,Bilfinger,B-org
Sentence: 15,Berger,I-org
Sentence: 15,",",O
Sentence: 15,Thomas,B-per
Sentence: 15,Horbach,I-per
Sentence: 15,",",O
Sentence: 15,said,O
Sentence: 15,the,O
Sentence: 15,gunmen,O
Sentence: 15,stopped,O
Sentence: 15,the,O
Sentence: 15,supply,O
Sentence: 15,boat,O
Sentence: 15,Wednesday,B-tim
Sentence: 15,as,O
Sentence: 15,it,O
Sentence: 15,sailed,O
Sentence: 15,from,O
Sentence: 15,Delta,B-geo
Sentence: 15,State,I-geo
Sentence: 15,to,O
Sentence: 15,Bayelsa,B-geo
Sentence: 15,State,I-geo
Sentence: 15,to,O
Sentence: 15,inspect,O
Sentence: 15,an,O
Sentence: 15,offshore,O
Sentence: 15,oil,O
Sentence: 15,field,O
Sentence: 15,owned,O
Sentence: 15,by,O
Sentence: 15,Royal-Dutch,B-org
Sentence: 15,Shell,I-org
Sentence: 15,.,O
Sentence: 16,The,O
Sentence: 16,German,B-gpe
Sentence: 16,firm,O
Sentence: 16,works,O
Sentence: 16,as,O
Sentence: 16,a,O
Sentence: 16,sub-contractor,O
Sentence: 16,for,O
Sentence: 16,Shell,B-org
Sentence: 16,.,O
Sentence: 17,Militant,O
Sentence: 17,groups,O
Sentence: 17,frequently,O
Sentence: 17,attack,O
Sentence: 17,oil,O
Sentence: 17,operations,O
Sentence: 17,in,O
Sentence: 17,the,O
Sentence: 17,Niger,B-geo
Sentence: 17,Delta,I-geo
Sentence: 17,to,O
Sentence: 17,demand,O
Sentence: 17,social,O
Sentence: 17,services,O
Sentence: 17,and,O
Sentence: 17,better,O
Sentence: 17,job,O
Sentence: 17,opportunities,O
Sentence: 17,from,O
Sentence: 17,multinational,O
Sentence: 17,companies,O
Sentence: 17,.,O
Sentence: 18,Poor,O
Sentence: 18,residents,O
Sentence: 18,often,O
Sentence: 18,complain,O
Sentence: 18,they,O
Sentence: 18,have,O
Sentence: 18,been,O
Sentence: 18,cheated,O
Sentence: 18,out,O
Sentence: 18,of,O
Sentence: 18,the,O
Sentence: 18,huge,O
Sentence: 18,riches,O
Sentence: 18,extracted,O
Sentence: 18,from,O
Sentence: 18,their,O
Sentence: 18,tribal,O
Sentence: 18,lands,O
Sentence: 18,-,O
Sentence: 18,where,O
Sentence: 18,the,O
Sentence: 18,bulk,O
Sentence: 18,of,O
Sentence: 18,Nigeria,B-gpe
Sentence: 18,'s,O
Sentence: 18,2.3,O
Sentence: 18,million,O
Sentence: 18,barrels,O
Sentence: 18,of,O
Sentence: 18,petroleum,O
Sentence: 18,are,O
Sentence: 18,pumped,O
Sentence: 18,daily,O
Sentence: 18,.,O
Sentence: 19,Suspected,O
Sentence: 19,Islamist,O
Sentence: 19,rebels,O
Sentence: 19,have,O
Sentence: 19,fired,O
Sentence: 19,mortar,O
Sentence: 19,shells,O
Sentence: 19,at,O
Sentence: 19,the,O
Sentence: 19,palace,O
Sentence: 19,used,O
Sentence: 19,by,O
Sentence: 19,Somalia,B-geo
Sentence: 19,'s,O
Sentence: 19,interim,O
Sentence: 19,President,B-per
Sentence: 19,Abdullahi,I-per
Sentence: 19,Yusuf,I-per
Sentence: 19,Ahmad,I-per
Sentence: 19,.,O
Sentence: 20,It,O
Sentence: 20,was,O
Sentence: 20,not,O
Sentence: 20,immediately,O
Sentence: 20,clear,O
Sentence: 20,if,O
Sentence: 20,the,O
Sentence: 20,president,O
Sentence: 20,was,O
Sentence: 20,in,O
Sentence: 20,the,O
Sentence: 20,palace,O
Sentence: 20,in,O
Sentence: 20,Mogadishu,B-geo
Sentence: 20,when,O
Sentence: 20,the,O
Sentence: 20,attack,O
Sentence: 20,occurred,O
Sentence: 20,or,O
Sentence: 20,if,O
Sentence: 20,anyone,O
Sentence: 20,was,O
Sentence: 20,hurt,O
Sentence: 20,.,O
Sentence: 21,Local,O
Sentence: 21,news,O
Sentence: 21,reports,O
Sentence: 21,said,O
Sentence: 21,at,O
Sentence: 21,least,O
Sentence: 21,five,O
Sentence: 21,mortar,O
Sentence: 21,shells,O
Sentence: 21,hit,O
Sentence: 21,the,O
Sentence: 21,palace,O
Sentence: 21,compound,O
Sentence: 21,and,O
Sentence: 21,other,O
Sentence: 21,mortars,O
Sentence: 21,were,O
Sentence: 21,fired,O
Sentence: 21,elsewhere,O
Sentence: 21,in,O
Sentence: 21,Mogadishu,B-geo
Sentence: 21,Wednesday,B-tim
Sentence: 21,.,O
Sentence: 22,The,O
Sentence: 22,attacks,O
Sentence: 22,occurred,O
Sentence: 22,after,O
Sentence: 22,the,O
Sentence: 22,government,O
Sentence: 22,said,O
Sentence: 22,it,O
Sentence: 22,will,O
Sentence: 22,go,O
Sentence: 22,ahead,O
Sentence: 22,with,O
Sentence: 22,a,O
Sentence: 22,reconciliation,O
Sentence: 22,conference,O
Sentence: 22,to,O
Sentence: 22,which,O
Sentence: 22,more,O
Sentence: 22,than,O
Sentence: 22,"1,300",O
Sentence: 22,Somali,B-gpe
Sentence: 22,elders,O
Sentence: 22,",",O
Sentence: 22,warlords,O
Sentence: 22,and,O
Sentence: 22,politicians,O
Sentence: 22,are,O
Sentence: 22,invited,O
Sentence: 22,.,O
Sentence: 23,Iraqi,B-gpe
Sentence: 23,military,O
Sentence: 23,officials,O
Sentence: 23,say,O
Sentence: 23,tanks,O
Sentence: 23,and,O
Sentence: 23,troops,O
Sentence: 23,have,O
Sentence: 23,arrived,O
Sentence: 23,in,O
Sentence: 23,the,O
Sentence: 23,northern,O
Sentence: 23,city,O
Sentence: 23,Mosul,B-geo
Sentence: 23,for,O
Sentence: 23,a,O
Sentence: 23,new,O
Sentence: 23,offensive,O
Sentence: 23,against,O
Sentence: 23,al,B-org
Sentence: 23,Qaida,I-org
Sentence: 23,in,I-org
Sentence: 23,Iraq,I-org
Sentence: 23,fighters,O
Sentence: 23,.,O
Sentence: 24,Officials,O
Sentence: 24,will,O
Sentence: 24,not,O
Sentence: 24,say,O
Sentence: 24,how,O
Sentence: 24,many,O
Sentence: 24,troops,O
Sentence: 24,have,O
Sentence: 24,arrived,O
Sentence: 24,in,O
Sentence: 24,the,O
Sentence: 24,Sunni,B-geo
Sentence: 24,Arab,I-geo
Sentence: 24,and,O
Sentence: 24,Kurdish,B-geo
Sentence: 24,city,O
Sentence: 24,",",O
Sentence: 24,where,O
Sentence: 24,bombings,O
Sentence: 24,last,O
Sentence: 24,week,O
Sentence: 24,killed,O
Sentence: 24,at,O
Sentence: 24,least,O
Sentence: 24,34,O
Sentence: 24,people,O
Sentence: 24,and,O
Sentence: 24,wounded,O
Sentence: 24,more,O
Sentence: 24,than,O
Sentence: 24,200,O
Sentence: 24,.,O
Sentence: 25,U.S.,B-gpe
Sentence: 25,commanders,O
Sentence: 25,have,O
Sentence: 25,not,O
Sentence: 25,explained,O
Sentence: 25,how,O
Sentence: 25,American,B-gpe
Sentence: 25,forces,O
Sentence: 25,will,O
Sentence: 25,participate,O
Sentence: 25,in,O
Sentence: 25,the,O
Sentence: 25,offensive,O
Sentence: 25,.,O
Sentence: 26,Officials,O
Sentence: 26,say,O
Sentence: 26,al,B-org
Sentence: 26,Qaida,I-org
Sentence: 26,in,I-org
Sentence: 26,Iraq,I-org
Sentence: 26,fighters,O
Sentence: 26,have,O
Sentence: 26,fled,O
Sentence: 26,successful,O
Sentence: 26,campaigns,O
Sentence: 26,against,O
Sentence: 26,them,O
Sentence: 26,in,O
Sentence: 26,Anbar,B-geo
Sentence: 26,province,O
Sentence: 26,and,O
Sentence: 26,Baghdad,B-geo
Sentence: 26,to,O
Sentence: 26,other,O
Sentence: 26,northern,O
Sentence: 26,provinces,O
Sentence: 26,.,O
Sentence: 27,Mosul,B-geo
Sentence: 27,is,O
Sentence: 27,the,O
Sentence: 27,largest,O
Sentence: 27,city,O
Sentence: 27,north,O
Sentence: 27,of,O
Sentence: 27,Baghdad,B-geo
Sentence: 27,and,O
Sentence: 27,has,O
Sentence: 27,long,O
Sentence: 27,been,O
Sentence: 27,a,O
Sentence: 27,stronghold,O
Sentence: 27,of,O
Sentence: 27,Sunni,B-org
Sentence: 27,militant,O
Sentence: 27,fighters,O
Sentence: 27,.,O
Sentence: 28,In,O
Sentence: 28,other,O
Sentence: 28,violence,O
Sentence: 28,",",O
Sentence: 28,U.S.,B-gpe
Sentence: 28,officials,O
Sentence: 28,said,O
Sentence: 28,one,O
Sentence: 28,American,B-gpe
Sentence: 28,soldier,O
Sentence: 28,was,O
Sentence: 28,killed,O
Sentence: 28,while,O
Sentence: 28,on,O
Sentence: 28,patrol,O
Sentence: 28,in,O
Sentence: 28,Baghdad,B-geo
Sentence: 28,Sunday,B-tim
Sentence: 28,.,O
Sentence: 29,Egyptian,B-gpe
Sentence: 29,police,O
Sentence: 29,have,O
Sentence: 29,arrested,O
Sentence: 29,at,O
Sentence: 29,least,O
Sentence: 29,16,O
Sentence: 29,members,O
Sentence: 29,of,O
Sentence: 29,the,O
Sentence: 29,opposition,O
Sentence: 29,Muslim,B-org
Sentence: 29,Brotherhood,I-org
Sentence: 29,as,O
Sentence: 29,parts,O
Sentence: 29,of,O
Sentence: 29,the,O
Sentence: 29,country,O
Sentence: 29,prepare,O
Sentence: 29,for,O
Sentence: 29,parliamentary,O
Sentence: 29,runoff,O
Sentence: 29,elections,O
Sentence: 29,Saturday,B-tim
Sentence: 29,.,O
Sentence: 30,The,O
Sentence: 30,arrests,O
Sentence: 30,occurred,O
Sentence: 30,Friday,B-tim
Sentence: 30,in,O
Sentence: 30,Alexandria,B-geo
Sentence: 30,.,O
Sentence: 31,A,O
Sentence: 31,spokesman,O
Sentence: 31,for,O
Sentence: 31,the,O
Sentence: 31,Brotherhood,B-org
Sentence: 31,said,O
Sentence: 31,the,O
Sentence: 31,arrests,O
Sentence: 31,are,O
Sentence: 31,an,O
Sentence: 31,attempt,O
Sentence: 31,to,O
Sentence: 31,cut,O
Sentence: 31,the,O
Sentence: 31,Brotherhood,B-org
Sentence: 31,off,O
Sentence: 31,from,O
Sentence: 31,its,O
Sentence: 31,supporters,O
Sentence: 31,and,O
Sentence: 31,punishment,O
Sentence: 31,for,O
Sentence: 31,winning,O
Sentence: 31,parliamentary,O
Sentence: 31,seats,O
Sentence: 31,in,O
Sentence: 31,earlier,O
Sentence: 31,elections,O
Sentence: 31,.,O
Sentence: 32,The,O
Sentence: 32,Muslim,B-org
Sentence: 32,Brotherhood,I-org
Sentence: 32,has,O
Sentence: 32,tripled,O
Sentence: 32,its,O
Sentence: 32,strength,O
Sentence: 32,in,O
Sentence: 32,parliament,O
Sentence: 32,in,O
Sentence: 32,recent,O
Sentence: 32,elections,O
Sentence: 32,",",O
Sentence: 32,raising,O
Sentence: 32,the,O
Sentence: 32,party,O
Sentence: 32,'s,O
Sentence: 32,total,O
Sentence: 32,to,O
Sentence: 32,47,O
Sentence: 32,seats,O
Sentence: 32,.,O
Sentence: 33,In,O
Sentence: 33,Saturday,B-tim
Sentence: 33,'s,O
Sentence: 33,elections,O
Sentence: 33,",",O
Sentence: 33,voters,O
Sentence: 33,will,O
Sentence: 33,cast,O
Sentence: 33,ballots,O
Sentence: 33,in,O
Sentence: 33,nine,O
Sentence: 33,provinces,O
Sentence: 33,where,O
Sentence: 33,no,O
Sentence: 33,candidate,O
Sentence: 33,won,O
Sentence: 33,a,O
Sentence: 33,majority,O
Sentence: 33,in,O
Sentence: 33,the,O
Sentence: 33,previous,O
Sentence: 33,round,O
Sentence: 33,of,O
Sentence: 33,voting,O
Sentence: 33,.,O
Sentence: 34,The,O
Sentence: 34,Muslim,B-org
Sentence: 34,Brotherhood,I-org
Sentence: 34,is,O
Sentence: 34,banned,O
Sentence: 34,as,O
Sentence: 34,a,O
Sentence: 34,political,O
Sentence: 34,party,O
Sentence: 34,",",O
Sentence: 34,but,O
Sentence: 34,it,O
Sentence: 34,endorses,O
Sentence: 34,so-called,O
Sentence: 34,independent,O
Sentence: 34,candidates,O
Sentence: 34,whose,O
Sentence: 34,allegiance,O
Sentence: 34,to,O
Sentence: 34,the,O
Sentence: 34,party,O
Sentence: 34,is,O
Sentence: 34,known,O
Sentence: 34,to,O
Sentence: 34,voters,O
Sentence: 34,.,O
Sentence: 35,Hardline,O
Sentence: 35,lawmakers,O
Sentence: 35,in,O
Sentence: 35,Pakistan,B-geo
Sentence: 35,'s,O
Sentence: 35,North,B-geo
Sentence: 35,West,I-geo
Sentence: 35,Frontier,I-geo
Sentence: 35,Province,I-geo
Sentence: 35,have,O
Sentence: 35,pushed,O
Sentence: 35,through,O
Sentence: 35,a,O
Sentence: 35,law,O
Sentence: 35,that,O
Sentence: 35,aims,O
Sentence: 35,to,O
Sentence: 35,ensure,O
Sentence: 35,"""",O
Sentence: 35,Islamic,O
Sentence: 35,correctness,O
Sentence: 35,"""",O
Sentence: 35,in,O
Sentence: 35,public,O
Sentence: 35,places,O
Sentence: 35,and,O
Sentence: 35,establishes,O
Sentence: 35,a,O
Sentence: 35,morality,O
Sentence: 35,police,O
Sentence: 35,to,O
Sentence: 35,enforce,O
Sentence: 35,decent,O
Sentence: 35,behavior,O
Sentence: 35,.,O
Sentence: 36,A,O
Sentence: 36,six-party,O
Sentence: 36,coalition,O
Sentence: 36,of,O
Sentence: 36,religious,O
Sentence: 36,based,O
Sentence: 36,parties,O
Sentence: 36,",",O
Sentence: 36,the,O
Sentence: 36,Mutahida,B-org
Sentence: 36,Majlis-e-Amal,I-org
Sentence: 36,",",O
Sentence: 36,dominates,O
Sentence: 36,the,O
Sentence: 36,provincial,O
Sentence: 36,assembly,O
Sentence: 36,",",O
Sentence: 36,so,O
Sentence: 36,the,O
Sentence: 36,bill,O
Sentence: 36,was,O
Sentence: 36,easily,O
Sentence: 36,passed,O
Sentence: 36,Thursday,B-tim
Sentence: 36,by,O
Sentence: 36,a,O
Sentence: 36,vote,O
Sentence: 36,of,O
Sentence: 36,68-34,O
Sentence: 36,.,O
Sentence: 37,The,O
Sentence: 37,provincial,O
Sentence: 37,governor,O
Sentence: 37,must,O
Sentence: 37,still,O
Sentence: 37,sign,O
Sentence: 37,the,O
Sentence: 37,bill,O
Sentence: 37,before,O
Sentence: 37,it,O
Sentence: 37,becomes,O
Sentence: 37,law,O
Sentence: 37,",",O
Sentence: 37,a,O
Sentence: 37,step,O
Sentence: 37,seen,O
Sentence: 37,only,O
Sentence: 37,as,O
Sentence: 37,a,O
Sentence: 37,formality,O
Sentence: 37,.,O
Sentence: 38,The,O
Sentence: 38,proposed,O
Sentence: 38,law,O
Sentence: 38,calls,O
Sentence: 38,for,O
Sentence: 38,setting,O
Sentence: 38,up,O
Sentence: 38,a,O
Sentence: 38,"""",O
Sentence: 38,religious,O
Sentence: 38,police,O
Sentence: 38,force,O
Sentence: 38,"""",O
Sentence: 38,to,O
Sentence: 38,make,O
Sentence: 38,sure,O
Sentence: 38,people,O
Sentence: 38,adhere,O
Sentence: 38,to,O
Sentence: 38,Islamic,O
Sentence: 38,values,O
Sentence: 38,in,O
Sentence: 38,public,O
Sentence: 38,places,O
Sentence: 38,",",O
Sentence: 38,and,O
Sentence: 38,entertainment,O
Sentence: 38,outlets,O
Sentence: 38,close,O
Sentence: 38,during,O
Sentence: 38,weekly,O
Sentence: 38,Friday,B-tim
Sentence: 38,prayers,O
Sentence: 38,.,O
Sentence: 39,Violators,O
Sentence: 39,could,O
Sentence: 39,be,O
Sentence: 39,jailed,O
Sentence: 39,for,O
Sentence: 39,up,O
Sentence: 39,to,O
Sentence: 39,six,O
Sentence: 39,months,O
Sentence: 39,.,O
Sentence: 40,The,O
Sentence: 40,opposition,O
Sentence: 40,has,O
Sentence: 40,denounced,O
Sentence: 40,the,O
Sentence: 40,measure,O
Sentence: 40,",",O
Sentence: 40,comparing,O
Sentence: 40,it,O
Sentence: 40,to,O
Sentence: 40,the,O
Sentence: 40,draconian,O
Sentence: 40,rule,O
Sentence: 40,of,O
Sentence: 40,the,O
Sentence: 40,former,O
Sentence: 40,Taleban,B-org
Sentence: 40,in,O
Sentence: 40,neighboring,O
Sentence: 40,Afghanistan,B-geo
Sentence: 40,.,O
Sentence: 41,British,B-gpe
Sentence: 41,police,O
Sentence: 41,say,O
Sentence: 41,they,O
Sentence: 41,have,O
Sentence: 41,arrested,O
Sentence: 41,a,O
Sentence: 41,man,O
Sentence: 41,who,O
Sentence: 41,dressed,O
Sentence: 41,as,O
Sentence: 41,suicide,O
Sentence: 41,bomber,O
Sentence: 41,at,O
Sentence: 41,a,O
Sentence: 41,demonstration,O
Sentence: 41,against,O
Sentence: 41,the,O
Sentence: 41,publication,O
Sentence: 41,of,O
Sentence: 41,cartoons,O
Sentence: 41,depicting,O
Sentence: 41,Islam,B-org
Sentence: 41,'s,O
Sentence: 41,Prophet,B-per
Sentence: 41,Muhammad,I-per
Sentence: 41,.,O
Sentence: 42,Bedfordshire,B-gpe
Sentence: 42,police,O
Sentence: 42,said,O
Sentence: 42,Tuesday,B-tim
Sentence: 42,that,O
Sentence: 42,Omar,B-per
Sentence: 42,Khayam,I-per
Sentence: 42,was,O
Sentence: 42,arrested,O
Sentence: 42,in,O
Sentence: 42,Bedford,B-geo
Sentence: 42,for,O
Sentence: 42,breaching,O
Sentence: 42,the,O
Sentence: 42,conditions,O
Sentence: 42,of,O
Sentence: 42,his,O
Sentence: 42,parole,O
Sentence: 42,.,O
Sentence: 43,Police,O
Sentence: 43,said,O
Sentence: 43,the,O
Sentence: 43,British,B-org
Sentence: 43,Home,I-org
Sentence: 43,Office,I-org
Sentence: 43,sought,O
Sentence: 43,an,O
Sentence: 43,investigation,O
Sentence: 43,of,O
Sentence: 43,Khayam,B-per
Sentence: 43,'s,O
Sentence: 43,behavior,O
Sentence: 43,after,O
